"NewQuestion","MC",""
"ID","MeanCIMC1-1",""
"Title","MeanCIMC1-1",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 22 US citizens' heights are measured. The average height of the sample is 66 inches and its standard deviation is 11 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(53.67, 58.4)"
"Option","100","(61.4, 70.6)"
"Option","0","(51.63, 57.34)"
"Option","0","(49.9, 53.02)"
"Option","0","(51.06, 59.9)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-2",""
"Title","MeanCIMC1-2",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 37 US citizens' heights are measured. The average height of the sample is 66 inches and its standard deviation is 9 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(74.62, 74.93)"
"Option","0","(60.92, 62.59)"
"Option","0","(51.56, 62.6)"
"Option","100","(63.1, 68.9)"
"Option","0","(72.07, 77.41)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-3",""
"Title","MeanCIMC1-3",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 24 US citizens' heights are measured. The average height of the sample is 65 inches and its standard deviation is 10 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(53.53, 72.82)"
"Option","0","(57.67, 69.96)"
"Option","0","(54.7, 79.01)"
"Option","0","(54.83, 79.38)"
"Option","100","(61, 69)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-4",""
"Title","MeanCIMC1-4",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 34 US citizens' heights are measured. The average height of the sample is 62 inches and its standard deviation is 13 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(69.65, 74.26)"
"Option","0","(55.79, 71.84)"
"Option","0","(73.98, 74.96)"
"Option","0","(48.11, 69.22)"
"Option","100","(57.63, 66.37)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-5",""
"Title","MeanCIMC1-5",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 40 US citizens' heights are measured. The average height of the sample is 63 inches and its standard deviation is 14 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(58.66, 67.34)"
"Option","0","(51.72, 72.3)"
"Option","0","(56.92, 71.9)"
"Option","0","(56.16, 70.29)"
"Option","0","(50.37, 69.2)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-6",""
"Title","MeanCIMC1-6",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 20 US citizens' heights are measured. The average height of the sample is 60 inches and its standard deviation is 5 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(52.47, 74.14)"
"Option","100","(57.81, 62.19)"
"Option","0","(46.65, 67.92)"
"Option","0","(46.04, 64.25)"
"Option","0","(56.3, 64.03)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-7",""
"Title","MeanCIMC1-7",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 28 US citizens' heights are measured. The average height of the sample is 59 inches and its standard deviation is 7 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(51.51, 68.51)"
"Option","0","(50.75, 52.72)"
"Option","0","(47.58, 61.8)"
"Option","0","(47.84, 64.39)"
"Option","100","(56.41, 61.59)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-8",""
"Title","MeanCIMC1-8",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 28 US citizens' heights are measured. The average height of the sample is 59 inches and its standard deviation is 18 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(45.57, 67.53)"
"Option","0","(45.82, 47.98)"
"Option","100","(52.33, 65.67)"
"Option","0","(50.72, 66.06)"
"Option","0","(48.19, 72.41)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-9",""
"Title","MeanCIMC1-9",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 34 US citizens' heights are measured. The average height of the sample is 64 inches and its standard deviation is 17 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","0","(77.71, 78.36)"
"Option","0","(50.06, 54.79)"
"Option","0","(74.93, 81.02)"
"Option","100","(58.29, 69.71)"
"Option","0","(48.15, 48.96)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-10",""
"Title","MeanCIMC1-10",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 29 US citizens' heights are measured. The average height of the sample is 64 inches and its standard deviation is 11 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(60, 68)"
"Option","0","(72.75, 79.24)"
"Option","0","(59.07, 68.8)"
"Option","0","(54.16, 55.4)"
"Option","0","(51.28, 73.54)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-11",""
"Title","MeanCIMC1-11",""
"QuestionText","The CDC collects biometric data on the US population. A sample of 27 US citizens' heights are measured. The average height of the sample is 54 inches and its standard deviation is 14 inches. What is the 95% confidence interval for the average height of all US citizens?",""
"Points","4",""
"Difficulty","1",""
"Option","100","(48.72, 59.28)"
"Option","0","(59.52, 59.97)"
"Option","0","(62.77, 68.9)"
"Option","0","(59.81, 68.35)"
"Option","0","(64.48, 67.84)"
"Hint","Use your confidence interval formula for one sample mean questions. Pick the closest answer.",""
"Feedback","Did you use xbar - 1.96*s/sqrt(n), and xbar + 1.96*s/sqrt(n)?",""
"NewQuestion","MC",""
"ID","MeanCIMC1-12",""
"Title","MeanCIMC1-12",""
